"sourceId","sourceUrl","sourceTitle","proposedSlug","proposedCategory","proposedSubcategory","proposedProductFamily","model","specifications","mainImage","duplicateCandidate","dataConfidence","missingFields","notes"
"1601828463243","https://www.alibaba.com/product-detail/Shower-Room-Hinge-Glass-Door-Stainless_1601828463243.html","淋浴房铰链 玻璃门不锈钢门铰链 90度","stainless-steel-shower-door-hinge-90-1601828463243","shower-hardware","","Shower Hardware","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":""Stainless steel"",""finish"":"""",""openingAngle"":""90°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/shower-hardware.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601824312588","https://www.alibaba.com/product-detail/Ultra-Heavy-Duty-Spring-Actuator-360_1601824312588.html","超重型弹簧执行器 360 度门开启角度 门重 600 公斤","hydraulic-floor-spring-up-to-600-kg-1601824312588","floor-springs","","Floor Springs","","{""capacity"":600,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":""360°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601868884547","https://www.alibaba.com/product-detail/Combo-Set-Floor-SpringStainless-Steel-Patch_1601868884547.html","组合套装地弹簧不锈钢贴片配件高品质玻璃门五金件带手柄","hydraulic-floor-spring-1601868884547","floor-springs","","Floor Springs","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":""Stainless steel"",""finish"":"""",""openingAngle"":"""",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601885011406","https://www.alibaba.com/product-detail/No-Digging-Pivot-Hinge-125-Degree_1601885011406.html","免挖掘旋转铰链 125 度现代式偏轴/侧轴液压执行器工厂批发木门弹簧","hydraulic-floor-spring-1601885011406","floor-springs","","Floor Springs","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":""125°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601664684789","https://www.alibaba.com/product-detail/Hidden-Pivot-Door-Hinge-180-Degree_1601664684789.html","隐藏式铰链 180 度地弹簧，适用于木门使用 现代侧轴旋转液压执行器","hydraulic-floor-spring-1601664684789","floor-springs","","Floor Springs","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":""180°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"11000031636340","https://www.alibaba.com/product-detail/Modern-Wooden-Door-Off-axis-Rotating_11000031636340.html","现代木门偏轴旋转铰链 125 ° 开口角度大 无挖掘旋转铰链 工厂直销","architectural-door-hinge-125-11000031636340","architectural-hinges","","Architectural Hinges","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":""125°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/architectural-hinges.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601666231343","https://www.alibaba.com/product-detail/Modern-Wooden-Door-Side-Shaft-60_1601666231343.html","现代木门侧轴液压执行器 60-150kg 门框木门液压执行器 高品质侧轴门液压执行器","hydraulic-floor-spring-up-to-150-kg-1601666231343","floor-springs","","Floor Springs","","{""capacity"":150,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":"""",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"11000031607422","https://www.alibaba.com/product-detail/High-end-Off-axis-Rotating-Pivot_11000031607422.html","高端偏轴旋转铰链，最大门重150KG，不锈钢木门免开槽旋转铰链","stainless-steel-architectural-door-hinge-11000031607422","architectural-hinges","","Architectural Hinges","","{""capacity"":150,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":""Stainless steel"",""finish"":"""",""openingAngle"":"""",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/architectural-hinges.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1601824330219","https://www.alibaba.com/product-detail/Heavy-Duty-Axis-Spring-Actuator-400KG_1601824330219.html","重型轴向弹簧执行器 400KG 360 度现代式地板弹簧","hydraulic-floor-spring-up-to-400-kg-1601824330219","floor-springs","","Floor Springs","","{""capacity"":400,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":"""",""finish"":"""",""openingAngle"":""360°"",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/placeholders/floor-springs.svg","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: not-used-legacy-branding-or-baked-copy."
"1600991360730","https://www.alibaba.com/product-detail/JIANDASI-Modern-Design-Stainless-Steel-Bathroom_1600991360730.html","JIANDASI 现代设计不锈钢浴室五金配件玻璃淋浴铰链和夹子，带一年保修","stainless-steel-shower-door-hinge-1600991360730","shower-hardware","","Shower Hardware","","{""capacity"":null,""doorWidth"":"""",""dimensions"":"""",""netWeight"":"""",""material"":""Stainless steel"",""finish"":"""",""openingAngle"":"""",""holdOpen"":null,""glassThickness"":"""",""otherVerifiedFields"":{}}","assets/images/products/shower-hardware/stainless-steel-shower-door-hinge-1600991360730/main.avif","false","partially-verified","[""doorWidth"",""dimensions"",""netWeight"",""finish"",""holdOpen""]","Imported from the seller's public product list. Only title-level facts are populated. Media status: approved-clean-listing-image."
